Data Type,Segments,Distance,Threshold,Segments Length,Accuracy,F1_Score,Precision,Recall
napierone,1,0,6.0,232,0.41552078394183656,nan,nan,0.0
napierone,1,0,6.0,240,0.41552078394183656,nan,nan,0.0
napierone,1,0,6.0,248,0.41552078394183656,nan,nan,0.0
napierone,1,0,6.0,256,0.41552078394183656,nan,nan,0.0
napierone,1,0,7.0,8,0.4540856646119804,0.6082567766814109,0.5238327798398125,0.7251216873985938
napierone,1,0,7.0,16,0.5525525525525525,0.6542078905582019,0.5965693918467365,0.7241752298539751
napierone,1,0,7.0,24,0.5836099257151889,0.5675830939679934,0.7220714136562957,0.4675500270416441
napierone,1,0,7.0,32,0.6525999683894421,0.6067978533094812,0.8964059196617337,0.4586262844780963
napierone,1,0,7.0,40,0.6671408250355618,0.6115824419033566,0.9617169373549884,0.44835045970795023
napierone,1,0,7.0,48,0.6585269480006322,0.5945388007882143,0.9714811407543699,0.4283396430502975
napierone,1,0,7.0,56,0.6422475106685633,0.5643345202579155,0.9789649415692822,0.3964305029745809
napierone,1,0,7.0,64,0.6206733048838312,0.522673031026253,0.98796992481203,0.35532720389399675
napierone,1,0,7.0,72,0.45250513671566306,0.12281590276019246,0.9661354581673307,0.06557598702001081
napierone,1,0,7.0,80,0.4317211948790896,0.05617535109594435,0.9596412556053812,0.02893455922120065
napierone,1,0,7.0,88,0.421289710763395,0.020334448160535118,0.9620253164556962,0.010275824770146024
napierone,1,0,7.0,96,0.4170222854433381,0.005393016044222732,0.9523809523809523,0.0027041644131963224
napierone,1,0,7.0,104,0.41607396870554764,0.0018911252195056058,1.0,0.0009464575446187128
napierone,1,0,7.0,112,0.41559981033665244,0.00027037988373665,1.0,0.00013520822065981613
napierone,1,0,7.0,120,0.41552078394183656,nan,nan,0.0
napierone,1,0,7.0,128,0.41552078394183656,nan,nan,0.0
napierone,1,0,7.0,136,0.41552078394183656,nan,nan,0.0
napierone,1,0,7.0,144,0.41552078394183656,nan,nan,0.0
napierone,1,0,7.0,152,0.41552078394183656,nan,nan,0.0
napierone,1,0,7.0,160,0.41552078394183656,nan,nan,0.0
napierone,1,0,7.0,168,0.41552078394183656,nan,nan,0.0
napierone,1,0,7.0,176,0.41552078394183656,nan,nan,0.0
napierone,1,0,7.0,184,0.41552078394183656,nan,nan,0.0
napierone,1,0,7.0,192,0.41552078394183656,nan,nan,0.0
napierone,1,0,7.0,200,0.41552078394183656,nan,nan,0.0
napierone,1,0,7.0,208,0.41552078394183656,nan,nan,0.0
napierone,1,0,7.0,216,0.41552078394183656,nan,nan,0.0
napierone,1,0,7.0,224,0.41552078394183656,nan,nan,0.0
napierone,1,0,7.0,232,0.41552078394183656,nan,nan,0.0
napierone,1,0,7.0,240,0.41552078394183656,nan,nan,0.0
napierone,1,0,7.0,248,0.41552078394183656,nan,nan,0.0
napierone,1,0,7.0,256,0.41552078394183656,nan,nan,0.0
napierone,1,0,8.0,8,0.4375691480954639,0.6011320966205235,0.5133531157270029,0.7251216873985938
napierone,1,0,8.0,16,0.5466255729413624,0.6512249984801507,0.5916270849442173,0.7241752298539751
napierone,1,0,8.0,24,0.5669353564090406,0.5588472065689906,0.6906088340628731,0.46930773391022174
napierone,1,0,8.0,32,0.6499920973605184,0.6059257941097963,0.8860265417642467,0.4603839913466739
napierone,1,0,8.0,40,0.6678520625889047,0.6145097679537742,0.9552323923581408,0.452947539210384
napierone,1,0,8.0,48,0.6646910067962699,0.6057057894247746,0.9684992570579495,0.44064359113034074
